,addresses,postal_codes,districts,house_types,Sold:,List:,Taxes:,DOM:,Lot:,Rms:,Bedrooms:,Washrms:,Client Remks:,Extras:,Brkage Remks:,Kitchens:,Fam Rm:,Basement:,Fireplace/Stv:,Heat:,A/C:,Central Vac:,Apx Age:,Apx Sqft:,Assessment:,POTL:,Laundry lev:,Exterior:,Drive:,Gar/Gar Spcs:,Drive Pk Spcs:,Tot Pk Spcs:,UFFI:,Pool:,Prop Feat:,Zoning:,Cable TV:,Hydro:,Gas:,Phone:,Water:,Water Supply:,Sewer:,Waterfront:,Retirement:,Farm/Agr:,Oth Struct:,,Spec Desig:
10,1562  Mount Pleasant Rd,M4N2V3,Toronto C04,2-Storey,"$1,182,000","$1,235,000","$5,923.40",24,33.75 x 100 Feet,7 + 3,3 + 2,2,Great North Toronto Neighbourhood!! Close To Good Schools (Wanless Park/Lawrence Park Collegiate & Private Schools) And Lawrence Subway. Terrific Opportunity To Renovate Or Rebuild On A Wide Lot. 33.75Ft X 100Ft. Recent Survey,,"Attach Schedule B. Certified Cheque Minimum $75,000.",1,Y,Part Fin,Y,Water / Gas,None,N,51-99,1500-2000,1185000 / 2016,,,Brick,Private,Detached / 1.0,0,1,No,None,,,Y,Y,Y,N,Municipal,,Sewers,None,N,,,,Unknown
11,135 Blake Ave,M2M 1B4,Toronto C07,Bungalow,"$1,232,000","$1,269,000","$4,132.00",66,61.67 x 118.58 Feet,6 + 4,3 + 1,2,"Location, Location, Rare 60' + South Lot Bungalow On A Child Safe Street, *New Roof (August 2017),Only 4 Minutes Walk To Yonge &Finch Subway Station, Large Bright Windows &Hardwood Under Broadloom, Next To Tennis Court ,Famous Hendon Water Park,Finish Cozy Basement And A Tranquil Backyard. Large Living & Storage Space, Double Driveway Without Sidewalk.Great Live_ In Or Investment Property. Currently Tenanted For $2,465 /Mo Till September 2017 Willing To Stay","Stove Top, Built In Oven, Fridge And Built In Dishwasher, Washer And Dryer, All Electric Light Fixtures, All Window Coverings, Garden Shed, Ego & Remote","Two Hours Notice For All Showing,Offers Welcome Anytime . Motivated Seller Please Email Your Offers To Saeidparnian111@Gmail.Com Thank You For Showings.",1,N,Finished / Sep Entrance,Y,Forced Air / Gas,Central Air,,,,,,,Brick,Pvt Double,Attached / 1.0,5,6,No,None,"Cul De Sac, Fenced Yard, Park, Public Transit, Rec Centre, Treed",,,,,,Municipal,,Sewers,,,,Garden Shed,,Unknown
12,22 Hallam St,M6G1W2,Toronto W02,2-Storey,"$1,200,000","$1,279,000","$3,883.87",73,20 x 100 Feet,7 + 2,3 + 1,3,"Prepare To Fall In Love With This Modern Wonder Where Simple Lines Rule In This Gorgeous Open Plan. Open Staircase With Glass & Stainless Steel Railing, Tons Of Pot Lights, Powder Room On Main Flr, Landscaped Front & Back, Finished Bsmnt W/ 4th Bedrm.  Renovated With Top Quality Materials In 2017.  Located Close To Corso Italia With Many Shops, Amenities & Access To The St. Clair West Streetcar Line.  This House Is A Must See.  Your Clients Will Thank You.","Incl. Fridge, Gas Stove, Dishwasher, Washer, Electric Light Fixtures, Window Coverings. Rough In For Central Vacuum","Attach Schedule B, Certified Chq, Permission To Advertise. Email Office@Josiestern.Com For Inspection Report",1,Y,Finished,N,Forced Air / Gas,Central Air,,,,,,,Brick,None,None / 0.0,0,0,,None,"Level, Park, Place Of Worship, School",,,,,,Municipal,,Sewers,,,,,,Unknown
13,114 Oakcrest Ave,M4C1B7,Toronto E02,2-Storey,"$1,450,000","$1,459,000","$3,700.00",9,25 x 90 Feet,11,4,4,Spectacular Brick & Stone Home In Prime Location!!! This Four Bedroom Home With Attached Garage Features Open Concept Main Floor With 11 Feet Ceilings. Elegant And Very Spacious Living/Dinning Room With Gleaming Hardwood Floor. Family Room W/Fire Place And Walkout To Deck. Gourmet Kitchen Delight!!! Large Master Bedrooms With Ensuite Bathroom. Entertaining Large Rec Room /3 Pc Washroom & Walk Up Basement,"S/S Fridge, Cook Top Stove, B/I Oven & Microwave And Dishwasher, S/S Washer & Dryer, Elf's, All Window Covering, Hwt (Rental).Close To Down Town And Walking Distance To Subway.",Easy Showing With Lbx.Please Attach Sch B & Form 801 W/Offer And Allow 24 Hr Irrevocable.Bank Draft Or Certified Chq For Deposits.Property Taxes Have Not Been Reassessed Yet. Thanks For Showing.,1,Y,Finished / Walk-Up,Y,Forced Air / Gas,Central Air,,,,,,,Brick / Stone,Private,Built-In / 1.0,2,2,,None,"Hospital, Public Transit, School",Residential,,,,,Municipal,,Sewers,,,,,,Unknown
14,183 Glengarry Ave,M5M1E1,Toronto C04,1 1/2 Storey,"$1,450,000","$1,480,000","$5,022.20",15,25 x 106 Feet,5,2,1,"*Sought-After Lawrence Park North Community! Perfect Opportunity For Builder/ Renovator, And Or Investor. * Charming 1.5 Storey Home In Good Condition Very Livable And Seller Would Rent Back For Up To 1 Year! * Great Amenities Nearby Just Steps To Yonge/ Avenue/ Lawrence Shops, Restaurants, Subway, And Located In Demand John Wanless School District.","Electric Light Fixtures, Fridge, Stove, Built-In Dishwasher, Garden Shed, Washer, Dryer, Gb& E '13, C.A.C., Hwt (R), Roof 2008, Property, Chattels And Fixtures In As Is Condition.",Please Attach Schedule B And Form 801 With Offers. * Seller Will Rent Back Property For Up To 1 Year! *Please Provide 4 Hours Notice For Showings. * Offers Anytime.,1,N,Full / Unfinished,Y,Forced Air / Gas,Central Air,,51-99,,,,,Brick,Front Yard,None / 0.0,1,1,,None,"Park, Public Transit, School",Residential,,,,,Municipal,,Sewers,,,,Garden Shed,,Unknown
15,14 Shaunavon Heights Cres,M3A 2P4,Toronto C13,Bungalow,"$1,485,000","$1,588,000","$4,299.83",42,55 x 110 Feet,6 + 3,3 + 1,3,"Location! All Done! Quiet Crescent*Completely Renovated Top To Bottom*Sunny West Grdn Backing Onto Green Space*Open Concept, New White Kitchen W/ Caesarstone Counters, Stainless Steel Appliances, 3 Main Floor Bedrms, Designer Bath*Sunfilled Basement W/Over Sized West Windows, In Law/Teen Suite, Huge Rec Rm, Easily Divided Into Another Bedroom/Office, 2 Reno'd Baths, Laundry*New Furnace, Ducts & Ac. Superb Schools, Outstanding Family Home","Gas Furnace, Central Air Conditioning, Humidifier, Stainless Steel: Fridge, Stove, Built-In Dishwasher, Built-In Microwave. Washer, Dryer, All Lights, All Custom Window Coverings, Broadloom Where Laid.","Complete Renovation-Wow! Ideal For Multi-Generational Family. West/Sunny Garden Backing Onto Green Space. Easy To Show. Flexible Closing Available. Show Your Fussiest Clients. Form 801, Certified Deposit Required.",1,N,Finished,N,Forced Air / Gas,Central Air,,,,,,,Brick,Private,Attached / 1.0,3,4,,None,"Fenced Yard, Grnbelt/Conserv, Rec Centre, School",,,,,,Municipal,,Sewers,,,,,,Unknown
16,146 Brunswick Ave,M5S2M2,Toronto C01,2 1/2 Storey,"$1,645,000","$1,650,000","$7,746.58",11,20.83 x 120 Feet,10,5,3,"Located In The Heart Of South Annex Large Detached Brick Home With Double Car Garage. Close To Uoft, Bloor Street, College Street, Walking Distance To Ttc And All Amenities. Walk-Out From Second Floor To A Sun Desk, Separate Entrance To Basement.","Multiple Kitchens,",Please 24 Hours Notice. Showing From 9 Am To 5 Pm. Schedule A & Certified Cheque To Accompany All Offers. Any Question Please Email To Yuliaskrip@Gmail.Com,2,Y,Sep Entrance / Unfinished,Y,Radiant / Gas,None,,,,,,,Brick,Lane,Detached / 2.0,2,2,,None,,,,,,,Municipal,,Sewers,,,,,,Unknown
17,68 Presley Ave,M1L3P8,Toronto E04,Bungalow,"$690,000","$699,900","$2,600.00",42,40 x 133.7 Feet,8,3,2,Open Concept Renovated Bungalow On Super Sized Lot. Amazing Family And Entertainment Home. Open Kitchen With Large Island. Entire Main Floor Living Space With Large Back Porch. Two Additional Outside Patio/Deck Areas. Three Bedroom Are Downstairs. This Is Your New Forever Home.,"Other Is Three Season Screened In Patio Overlooking Backyard. Two Sheds. Incl All Ss Appliances And W/D. H/W Is A Rental. Hot Tub, Chest Freezer And Wood Stove.",Easy To Show - Offers Anytime.  5% Deposit. Please Contact Listing Agent Prior To Preparing Offer. Email Or Call For Copy Of Home Inspection Report.,1,Y,Finished,Y,Forced Air / Gas,Central Air,,,,,,,Brick,Private,None / 0.0,4,4,,None,,,,,,,Municipal,,Sewers,,,,,,Unknown
18,252 Randall Cres,M1M3K4,Toronto E08,Bungalow,"$720,000","$699,900","$2,838.47",5,47 x 108.66 Feet,6 + 5,3,2,"Don't Miss This Solid, 3 Bedroom, Brick Bungalow Located In The Demand Neighbourhood Of Cliffcrest. This Home Is One Of The Larger Original Models Offered When First Built And Backs Onto Anson Park.  This Well Maintained Home Has Good Sized Principal Rooms, A Large Deck Great For Entertaining, And Lots Of Room To Expand If You Want.  Perfect For Empty Nesters, Families, Or Investors. Don't Miss This Great Home.","Fridge, Stove, Dryer, Washer, All Elfs, Broadloom Where Laid, Hwt Is Rental, All Curtains & Drapery, Exc: Freezer.  Close To Lake, Bluffs, Marina, Parks, Shopping, Ttc, Go Train, R.H. King & More.",Email Offers To Andyryanrealestate@Gmail.Com As Per Seller's Request.  Attach Sch.B & Certify Deposit Chq Please. Existing Survey Attached. 2 Hours Notice For Showings Please.  Shift Worker.,1,N,Finished / Sep Entrance,N,Forced Air / Gas,Central Air,,31-50,1100-1500,,,,Brick,Private,None / 0.0,2,2,No,None,,,,,,,Municipal,,Sewers,,,,,,Unknown
19,98 Oakley Blvd,M1P3P7,Toronto E09,Backsplit 3,"$700,000","$719,900","$2,907.95",52,60 x 108 Feet,6 + 1,3,2,Great Home In Midland Park Community Located Steps To Ellesmere And Town Centre And Ttc.  Nicely Updated With Cathedral Ceilings In Living/Dining Room.  Kitchen-W/O From Dining Room And From Kitchen To Patio Area And Backyard.  Kitchen Is Updated.  Fireplace To Living Room With Large Picture Window.  Lots Of Parking For 3 Cars.  Large Frontage Of 60 Ft.  Beautiful Yards Front And Rear Wwith Large Garden Shed.,"Fridge, Stove, Washer, Dryer, B/I Dishwasher, Microwave, Freezer In Basement, All Window Coverings, All Electrical Light Fixtures, Bbq, Patio Furniture, Security Cameras, One Garden Shed",All Offers By Email To Progress.Email@Remaxrealtron.Com  Thanks For Showing,1,N,Finished,Y,Forced Air / Gas,Central Air,,,,,,,Brick / Vinyl Siding,Private,Carport / 1.0,3,4,,None,,,,,,,Municipal,,Sewers,,,,,,Unknown
20,88 North Edgely Ave,M1K1T7,Toronto E04,2-Storey,"$761,000","$779,000","$2,592.00",6,30 x 139 Feet,6 + 1,3,2,"Great Opportunity, Prime Clairlea- Birchmount Area, Good Neighbourhood. Fully Renovated 3 Brm Lr & Dr, New Hardwd Flr, Top To Bottom Upgded Like Brand New Home, Must See. Completely Rebuild As Per City Code W/Multiple Permits, Install New Furnace & Replace All Ducks As Per Hvac Permit, All New Electric W/City Permit, ( New: Custom Kitchen W/Quartz Counter Top & Blacksplash, Stains/Railing, Washrms, Front Porch), Encld Deck W/Big Window Can Be Used Like Fam Rm","All Brand New Samsung Appliances ( French Door Fridge, Stove, Dishwasher, Washer And Dryer), Fully Renovated Home From Top To Bottom, Demand Location, Close To All Amenities, Walk To School & Ttc.",Seller Have All The City Permits. Easy To Show. Please Attach Schedule B + Form 801 To Offers. Deposit Cheq Must Be Certified/ Bank Draft. Buyer Or Buyer Agent Need To Verify Measurements And Tax.,1,N,Finished,N,Forced Air / Gas,Central Air,,,,,,,Brick,Available,None / 0.0,3,3,,None,,,,,,,Municipal,,Sewers,,,,,,Unknown
21,86 Deanvar Ave,M1R 2N3,Toronto E04,Bungalow,"$780,000","$799,000","$3,000.58",55,40 x 125 Feet,5 + 2,3 + 1,2,"Beautiful Detached Bungalow With 3+1 Bedrooms, A Large Backyard, And A Finished Basement Out-Looking Deanvar Park. Short Distance Away From Various Malls, Community Centers, Catholic Schools, And Wexford Csa! Convenient Travel Options Aplenty Via Transit Or The 404 And The 401. Roof (2011). Granite Counters And High Quality Wood Cabinets In Kitchen. Don't Miss This Opportunity To Live In One Of The Best Areas Scarborough Has To Offer!","S/S Fridge And Stove, All Elfs, Washing Machine. All Existing Window Coverings.",Offers Accepted Anytime. Please Attach Schedule B And Form 801 With All Offers. Booking Times For Showings Between 9Am To 8Pm. Buyer's Agent To Verify All Measurements And Taxes.,1,Y,Finished / Sep Entrance,N,Forced Air / Gas,Central Air,,,,,,,Brick / Stone,Private,None / 0.0,3,3,,None,"Fenced Yard, Park, Place Of Worship, Public Transit, Rec Centre, School",,,,,,Municipal,,Sewers,,,,Garden Shed,,Unknown
22,24 Starcross Crt,M9L2V6,Toronto W05,Sidesplit 5,"$800,000","$829,000","$3,556.12",100,45.17 x 123.1 Feet,8 + 1,3 + 1,3,"A Unique All Brick 5 Level Side Split Situated On A Nature Cul De Sac!! Custom Built Home, Steps To Schools, Transit And Humber River Conservation Area With Parks And Trails. Ravine Lot. Located In Prestigious Summit Community Close To All Amenities!! Two Fireplaces, 2 Kitchens, Fully Furnished Basement With Separate Entrance, Wet Bar In The Rec Room, Very Large Cantina. Enjoy The Spacious Eat-In Kitchen, With Walkout Sliding Door!!","All Elf's, 1 Fridge, Stove, Dishwasher, Washer, Dryer.",Sold Conditionally On Sale Of Buyers Property- Still Allowing Showings** Hwt Rental. All Measurements To Be Verified. Please Call Lb For All Showings! Please Attach Sch B & Form 801 With All Offers. All Inquiries To Luigi Bruno. Please Allow 24Hrs Notice For Showings. Thank You!,2,Y,Finished,Y,Forced Air / Gas,Central Air,,,2500-3000,,,,Brick,Private,Attached / 2.0,4,4,No,None,"Cul De Sac, Fenced Yard, Park, School, Waterfront",Residential,Y,Y,Y,Y,Municipal,,Sewers,,,,Garden Shed,,Unknown
23,51 Northcrest Rd,M9R1R1,Toronto W09,Bungalow,"$835,000","$849,900","$3,865.68",50,46 x 129.58 Feet,6 + 4,3 + 2,2,"Great Location And Size, Over 2500 Square Feet Of Living Space. Well Cared For By Original Owners! Bungalow With Side Entrance And Finished Basement, Double Car Garage With Double Private Driveway, Plaster Walls And Ceiling On Main Floor, Mohogany Doors, Stripped Hardwood Flooring, Sculptured Ceilings In Living Room And Dining Room, Large Family Kitchen, Fabulous Family Neighbourhood With Parks, Schools, Transit. This Is A Wonderful Home That Will Not Last.","New Roof Shingles(Aug 2017), Fridge,Stove,Builtin Dishwasher,Washer,Dryer,Central Air,High Efficiency Furnace(4 Years),100 Amp Circuit Breaker Panel,Wood Burning Fireplace Insert,Basement Bedrooms Just Need Small Centre Opening Enclosed","Lock Box For Easy Showings, No Survey, Hot Water Tank (Rental), Attach Schedule ""B"" To Offers, Register Offer With Form 801, Inspection Report Available, Owners Require 48 Hr Irrevocable.",1,N,Finished,Y,Forced Air / Gas,Central Air,,,1100-1500,,,,Brick,Pvt Double,Attached / 2.0,2,4,,None,"Park, Public Transit, School",,,,,,Municipal,,Sewers,,,,,,Unknown
24,57 Conlins Rd,M1C1C2,Toronto E10,Bungalow,"$1,400,000","$1,379,999","$2,755.77",3,100 x 218.46 Feet,4 + 1,2,1,"Wow ! Huge 100 By 218 Feet Lot In The Premium Highland Creek. Rare Opportunity To Own The Country Bungalow In The City Or Build Your Dream Home Or Two. Endless Possibilities. Investors & Builders' Gem.Many Custom Built Homes In The Area.Close To U O Toronto Scarborough,Centennial College, 401.Buyer & Agents To Do Their Own Due Diligence With Regards To City By Laws, Permits,Survey & Severance Subject To City Approval.Etc","Stove,  All Light Fixtures. Property Sold All As Is Condition. No Survey.","Please Attach Schedule B With Offer.   E-Mail Offers To:  Tomsachdeva@Gmail.Com,  5%  Deposit To Be Certified Cheque/Bank Draft.  48 Hour Irrevocable For Offers",1,N,Full,N,Other / Oil,None,N,51-99,700-1100,,,,Other,Private,Detached / 1.0,4,5,No,None,"Hospital, Public Transit, Rec Centre, School",,N,Y,N,Y,Municipal,,Sewers,None,N,,,,Unknown
